Capital expenditure,$ Total,$ Accumulated1,year,school_id,school_name,$ Last 3 years1
State / territory government capital expenditure,104673,963458,2019,44461,"Kensington Primary School, Kensington, VIC",
New school loans,0,0,2019,44461,"Kensington Primary School, Kensington, VIC",
Income allocated to current capital projects,0,0,2019,44461,"Kensington Primary School, Kensington, VIC",
Other,0,0,2019,44461,"Kensington Primary School, Kensington, VIC",
Total capital expenditure,138138,1143087,2019,44461,"Kensington Primary School, Kensington, VIC",
Australian government capital expenditure,11568,86989,2015,44693,"Kingsville Primary School, Yarraville, VIC",
State / territory government capital expenditure,15314,51993,2015,44693,"Kingsville Primary School, Yarraville, VIC",
New school loans,0,0,2015,44693,"Kingsville Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2015,44693,"Kingsville Primary School, Yarraville, VIC",
Other,0,36915,2015,44693,"Kingsville Primary School, Yarraville, VIC",
Total capital expenditure,26882,175897,2015,44693,"Kingsville Primary School, Yarraville, VIC",
Australian government capital expenditure,24550,440597,2018,44224,"Albert Park Primary School, Albert Park, VIC",
State / territory government capital expenditure,73875,2513002,2018,44224,"Albert Park Primary School, Albert Park, VIC",
New school loans,0,0,2018,44224,"Albert Park Primary School, Albert Park, VIC",
Income allocated to current capital projects,0,0,2018,44224,"Albert Park Primary School, Albert Park, VIC",
Other,5773,25699,2018,44224,"Albert Park Primary School, Albert Park, VIC",
Total capital expenditure,104198,2979298,2018,44224,"Albert Park Primary School, Albert Park, VIC",
Australian government capital expenditure,19128,108399,2017,45375,"Mount Alexander 7-12 College, Flemington, VIC",
State / territory government capital expenditure,119351,324421,2017,45375,"Mount Alexander 7-12 College, Flemington, VIC",
New school loans,0,0,2017,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Income allocated to current capital projects,0,0,2017,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Other,9372,44372,2017,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Total capital expenditure,147851,477192,2017,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Australian government capital expenditure,14582472,19272850,2021,45517,"Fitzroy High School, Fitzroy North, VIC",
State / territory government capital expenditure,57569059,75991143,2021,45517,"Fitzroy High School, Fitzroy North, VIC",
New school loans,0,0,2021,45517,"Fitzroy High School, Fitzroy North, VIC",
Income allocated to current capital projects,0,0,2021,45517,"Fitzroy High School, Fitzroy North, VIC",
Other,9654,28991,2021,45517,"Fitzroy High School, Fitzroy North, VIC",
Total capital expenditure,72161185,95292984,2021,45517,"Fitzroy High School, Fitzroy North, VIC",
Australian government capital expenditure,16015,174731,2018,50217,"Newport Gardens Primary School, Newport, VIC",
State / territory government capital expenditure,48191,508859,2018,50217,"Newport Gardens Primary School, Newport, VIC",
New school loans,0,0,2018,50217,"Newport Gardens Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2018,50217,"Newport Gardens Primary School, Newport, VIC",
Other,5600,40667,2018,50217,"Newport Gardens Primary School, Newport, VIC",
Total capital expenditure,69806,724257,2018,50217,"Newport Gardens Primary School, Newport, VIC",
Australian government capital expenditure,82061,152971,2014,45475,"University High School, Parkville, VIC",
State / territory government capital expenditure,93497,248107,2014,45475,"University High School, Parkville, VIC",
New school loans,0,0,2014,45475,"University High School, Parkville, VIC",
Income allocated to current capital projects,0,0,2014,45475,"University High School, Parkville, VIC",
Other,212315,516774,2014,45475,"University High School, Parkville, VIC",
Total capital expenditure,387873,917852,2014,45475,"University High School, Parkville, VIC",
Australian government capital expenditure,6349,20802,2015,44634,"Spotswood Primary School, Spotswood, VIC",
State / territory government capital expenditure,8406,31074,2015,44634,"Spotswood Primary School, Spotswood, VIC",
New school loans,0,0,2015,44634,"Spotswood Primary School, Spotswood, VIC",
Income allocated to current capital projects,0,0,2015,44634,"Spotswood Primary School, Spotswood, VIC",
Other,0,6348,2015,44634,"Spotswood Primary School, Spotswood, VIC",
Total capital expenditure,14755,58224,2015,44634,"Spotswood Primary School, Spotswood, VIC",
Australian government capital expenditure,4259,36930,2015,44919,"Altona North Primary School, Altona North, VIC",
State / territory government capital expenditure,5639,36440,2015,44919,"Altona North Primary School, Altona North, VIC",
New school loans,0,0,2015,44919,"Altona North Primary School, Altona North, VIC",
Income allocated to current capital projects,0,0,2015,44919,"Altona North Primary School, Altona North, VIC",
Other,0,11862,2015,44919,"Altona North Primary School, Altona North, VIC",
Total capital expenditure,9898,85232,2015,44919,"Altona North Primary School, Altona North, VIC",
Australian government capital expenditure,72276,569397,2020,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
State / territory government capital expenditure,295205,1834848,2020,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
New school loans,0,0,2020,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Income allocated to current capital projects,0,0,2020,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Other,38226,53507,2020,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Total capital expenditure,405707,2457752,2020,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Australian government capital expenditure,46401,83136,2016,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
State / territory government capital expenditure,109956,143198,2016,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
New school loans,0,0,2016,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Income allocated to current capital projects,0,0,2016,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Other,0,0,2016,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Total capital expenditure,156357,226334,2016,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Australian government capital expenditure,6877,48017,2016,44843,"Wembley Primary School, Yarraville, VIC",
State / territory government capital expenditure,16297,53682,2016,44843,"Wembley Primary School, Yarraville, VIC",
New school loans,0,0,2016,44843,"Wembley Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2016,44843,"Wembley Primary School, Yarraville, VIC",
Other,6886,64283,2016,44843,"Wembley Primary School, Yarraville, VIC",
Total capital expenditure,30060,165982,2016,44843,"Wembley Primary School, Yarraville, VIC",
Australian government capital expenditure,90960,2429626,2015,45538,"Bayside P-12 College, Williamstown, VIC",
State / territory government capital expenditure,30185,2709549,2015,45538,"Bayside P-12 College, Williamstown, VIC",
New school loans,0,0,2015,45538,"Bayside P-12 College, Williamstown, VIC",
Income allocated to current capital projects,0,0,2015,45538,"Bayside P-12 College, Williamstown, VIC",
Other,0,96576,2015,45538,"Bayside P-12 College, Williamstown, VIC",
Total capital expenditure,121145,5235751,2015,45538,"Bayside P-12 College, Williamstown, VIC",
Australian government capital expenditure,61125,82792,2016,44714,"Footscray North Primary School, Footscray, VIC",
State / territory government capital expenditure,144848,165644,2016,44714,"Footscray North Primary School, Footscray, VIC",
New school loans,0,0,2016,44714,"Footscray North Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2016,44714,"Footscray North Primary School, Footscray, VIC",
Other,0,136594,2016,44714,"Footscray North Primary School, Footscray, VIC",
Total capital expenditure,205973,385030,2016,44714,"Footscray North Primary School, Footscray, VIC",
Australian government capital expenditure,29090,0,2020,52695,"South Melbourne Park Primary School, Albert Park, VIC",
State / territory government capital expenditure,118817,0,2020,52695,"South Melbourne Park Primary School, Albert Park, VIC",
New school loans,0,0,2020,52695,"South Melbourne Park Primary School, Albert Park, VIC",
Income allocated to current capital projects,0,0,2020,52695,"South Melbourne Park Primary School, Albert Park, VIC",
Other,0,0,2020,52695,"South Melbourne Park Primary School, Albert Park, VIC",
Total capital expenditure,147907,0,2020,52695,"South Melbourne Park Primary School, Albert Park, VIC",
Australian government capital expenditure,0,38070,2016,44378,"Footscray City Primary School, Footscray, VIC",
State / territory government capital expenditure,0,41206,2016,44378,"Footscray City Primary School, Footscray, VIC",
New school loans,0,0,2016,44378,"Footscray City Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2016,44378,"Footscray City Primary School, Footscray, VIC",
Other,0,7130,2016,44378,"Footscray City Primary School, Footscray, VIC",
Total capital expenditure,0,86406,2016,44378,"Footscray City Primary School, Footscray, VIC",
Australian government capital expenditure,114580,1295770,2022,45475,"University High School, Parkville, VIC",
State / territory government capital expenditure,439804,5128311,2022,45475,"University High School, Parkville, VIC",
New school loans,0,0,2022,45475,"University High School, Parkville, VIC",
Income allocated to current capital projects,0,0,2022,45475,"University High School, Parkville, VIC",
Other,100539,407859,2022,45475,"University High School, Parkville, VIC",
Total capital expenditure,654923,6831940,2022,45475,"University High School, Parkville, VIC",
Australian government capital expenditure,12908,32782,2017,45517,"Fitzroy High School, Fitzroy North, VIC",
State / territory government capital expenditure,80538,116229,2017,45517,"Fitzroy High School, Fitzroy North, VIC",
New school loans,0,0,2017,45517,"Fitzroy High School, Fitzroy North, VIC",
Income allocated to current capital projects,0,0,2017,45517,"Fitzroy High School, Fitzroy North, VIC",
Other,5500,5500,2017,45517,"Fitzroy High School, Fitzroy North, VIC",
Total capital expenditure,98946,154511,2017,45517,"Fitzroy High School, Fitzroy North, VIC",
Australian government capital expenditure,549567,940626,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC",
State / territory government capital expenditure,2169595,3719464,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC",
New school loans,0,0,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Income allocated to current capital projects,0,0,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Other,105065,140766,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Total capital expenditure,2824227,4800856,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Australian government capital expenditure,65414,115353,2020,44461,"Kensington Primary School, Kensington, VIC",
State / territory government capital expenditure,267179,421424,2020,44461,"Kensington Primary School, Kensington, VIC",
New school loans,0,0,2020,44461,"Kensington Primary School, Kensington, VIC",
Income allocated to current capital projects,0,0,2020,44461,"Kensington Primary School, Kensington, VIC",
Other,0,0,2020,44461,"Kensington Primary School, Kensington, VIC",
Total capital expenditure,332593,536777,2020,44461,"Kensington Primary School, Kensington, VIC",
Australian government capital expenditure,0,79009,2020,44378,"Footscray City Primary School, Footscray, VIC",
State / territory government capital expenditure,0,244426,2020,44378,"Footscray City Primary School, Footscray, VIC",
New school loans,0,0,2020,44378,"Footscray City Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2020,44378,"Footscray City Primary School, Footscray, VIC",
Other,14000,40194,2020,44378,"Footscray City Primary School, Footscray, VIC",
Total capital expenditure,14000,363629,2020,44378,"Footscray City Primary School, Footscray, VIC",
Australian government capital expenditure,0,0,2018,45797,"St John's School, Footscray, VIC",
State / territory government capital expenditure,0,0,2018,45797,"St John's School, Footscray, VIC",
New school loans,0,0,2018,45797,"St John's School, Footscray, VIC",
Income allocated to current capital projects,192996,448665,2018,45797,"St John's School, Footscray, VIC",
Other,281857,310957,2018,45797,"St John's School, Footscray, VIC",
Total capital expenditure,474853,759622,2018,45797,"St John's School, Footscray, VIC",
Australian government capital expenditure,248752,279736,2020,44714,"Footscray North Primary School, Footscray, VIC",
State / territory government capital expenditure,1016000,1111294,2020,44714,"Footscray North Primary School, Footscray, VIC",
New school loans,0,0,2020,44714,"Footscray North Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2020,44714,"Footscray North Primary School, Footscray, VIC",
Other,0,0,2020,44714,"Footscray North Primary School, Footscray, VIC",
Total capital expenditure,1264752,1391030,2020,44714,"Footscray North Primary School, Footscray, VIC",
Australian government capital expenditure,903498,947651,2018,44044,"Newport Lakes Primary School, Newport, VIC",
State / territory government capital expenditure,2718761,2950301,2018,44044,"Newport Lakes Primary School, Newport, VIC",
New school loans,0,0,2018,44044,"Newport Lakes Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2018,44044,"Newport Lakes Primary School, Newport, VIC",
Other,13651,47634,2018,44044,"Newport Lakes Primary School, Newport, VIC",
Total capital expenditure,3635910,3945586,2018,44044,"Newport Lakes Primary School, Newport, VIC",
Australian government capital expenditure,11330,59376,2020,44843,"Wembley Primary School, Yarraville, VIC",
State / territory government capital expenditure,46278,193331,2020,44843,"Wembley Primary School, Yarraville, VIC",
New school loans,0,0,2020,44843,"Wembley Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2020,44843,"Wembley Primary School, Yarraville, VIC",
Other,0,0,2020,44843,"Wembley Primary School, Yarraville, VIC",
Total capital expenditure,57608,252707,2020,44843,"Wembley Primary School, Yarraville, VIC",
Australian government capital expenditure,80994,698849,2020,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
State / territory government capital expenditure,330811,2190029,2020,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
New school loans,0,0,2020,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Income allocated to current capital projects,0,0,2020,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Other,0,0,2020,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Total capital expenditure,411805,2888878,2020,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Australian government capital expenditure,102926,629655,2016,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
State / territory government capital expenditure,77343,135510,2016,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
New school loans,0,0,2016,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Income allocated to current capital projects,0,0,2016,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Other,0,32445,2016,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Total capital expenditure,180269,797610,2016,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Australian government capital expenditure,58819,99314,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC",
State / territory government capital expenditure,176996,344803,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC",
New school loans,0,0,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Income allocated to current capital projects,0,0,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Other,10369,56929,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Total capital expenditure,246184,501046,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Australian government capital expenditure,696920,803791,2018,44664,"Footscray West Primary School, West Footscray, VIC",
State / territory government capital expenditure,2097136,2515716,2018,44664,"Footscray West Primary School, West Footscray, VIC",
New school loans,0,0,2018,44664,"Footscray West Primary School, West Footscray, VIC",
Income allocated to current capital projects,0,0,2018,44664,"Footscray West Primary School, West Footscray, VIC",
Other,0,0,2018,44664,"Footscray West Primary School, West Footscray, VIC",
Total capital expenditure,2794056,3319507,2018,44664,"Footscray West Primary School, West Footscray, VIC",
Australian government capital expenditure,8501,29257,2015,44461,"Kensington Primary School, Kensington, VIC",
State / territory government capital expenditure,11253,43006,2015,44461,"Kensington Primary School, Kensington, VIC",
New school loans,0,0,2015,44461,"Kensington Primary School, Kensington, VIC",
Income allocated to current capital projects,0,0,2015,44461,"Kensington Primary School, Kensington, VIC",
Other,0,14154,2015,44461,"Kensington Primary School, Kensington, VIC",
Total capital expenditure,19754,86417,2015,44461,"Kensington Primary School, Kensington, VIC",
Australian government capital expenditure,19163,49657,2019,44693,"Kingsville Primary School, Yarraville, VIC",
State / territory government capital expenditure,59938,195021,2019,44693,"Kingsville Primary School, Yarraville, VIC",
New school loans,0,0,2019,44693,"Kingsville Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2019,44693,"Kingsville Primary School, Yarraville, VIC",
Other,0,21825,2019,44693,"Kingsville Primary School, Yarraville, VIC",
Total capital expenditure,79101,266503,2019,44693,"Kingsville Primary School, Yarraville, VIC",
Australian government capital expenditure,30301,7080080,2020,52703,"Richmond High School, Richmond, VIC",
State / territory government capital expenditure,123762,21374303,2020,52703,"Richmond High School, Richmond, VIC",
New school loans,0,0,2020,52703,"Richmond High School, Richmond, VIC",
Income allocated to current capital projects,0,0,2020,52703,"Richmond High School, Richmond, VIC",
Other,0,0,2020,52703,"Richmond High School, Richmond, VIC",
Total capital expenditure,154063,28454383,2020,52703,"Richmond High School, Richmond, VIC",
Australian government capital expenditure,212095,263964,2018,45475,"University High School, Parkville, VIC",
State / territory government capital expenditure,638226,919989,2018,45475,"University High School, Parkville, VIC",
New school loans,0,0,2018,45475,"University High School, Parkville, VIC",
Income allocated to current capital projects,0,0,2018,45475,"University High School, Parkville, VIC",
Other,24238,182745,2018,45475,"University High School, Parkville, VIC",
Total capital expenditure,874559,1366698,2018,45475,"University High School, Parkville, VIC",
Australian government capital expenditure,183554,239863,2014,50217,"Newport Gardens Primary School, Newport, VIC",
State / territory government capital expenditure,203156,345784,2014,50217,"Newport Gardens Primary School, Newport, VIC",
New school loans,0,0,2014,50217,"Newport Gardens Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2014,50217,"Newport Gardens Primary School, Newport, VIC",
Other,0,67368,2014,50217,"Newport Gardens Primary School, Newport, VIC",
Total capital expenditure,386710,653015,2014,50217,"Newport Gardens Primary School, Newport, VIC",
Australian government capital expenditure,470646,476734,2014,44224,"Albert Park Primary School, Albert Park, VIC",
State / territory government capital expenditure,527315,577352,2014,44224,"Albert Park Primary School, Albert Park, VIC",
New school loans,0,0,2014,44224,"Albert Park Primary School, Albert Park, VIC",
Income allocated to current capital projects,0,0,2014,44224,"Albert Park Primary School, Albert Park, VIC",
Other,16645,21981,2014,44224,"Albert Park Primary School, Albert Park, VIC",
Total capital expenditure,1014606,1076067,2014,44224,"Albert Park Primary School, Albert Park, VIC",
Australian government capital expenditure,53621,378442,2022,45454,"Princes Hill Secondary College, Princes Hill, VIC",
State / territory government capital expenditure,205820,1501789,2022,45454,"Princes Hill Secondary College, Princes Hill, VIC",
New school loans,0,0,2022,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Income allocated to current capital projects,0,0,2022,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Other,25095,53155,2022,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Total capital expenditure,284536,1933386,2022,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Australian government capital expenditure,22306,128285,2019,44919,"Altona North Primary School, Altona North, VIC",
State / territory government capital expenditure,69770,429232,2019,44919,"Altona North Primary School, Altona North, VIC",
New school loans,0,0,2019,44919,"Altona North Primary School, Altona North, VIC",
Income allocated to current capital projects,0,0,2019,44919,"Altona North Primary School, Altona North, VIC",
Other,0,0,2019,44919,"Altona North Primary School, Altona North, VIC",
Total capital expenditure,92076,557517,2019,44919,"Altona North Primary School, Altona North, VIC",
Australian government capital expenditure,216899,358587,2019,44634,"Spotswood Primary School, Spotswood, VIC",
State / territory government capital expenditure,678415,1125561,2019,44634,"Spotswood Primary School, Spotswood, VIC",
New school loans,0,0,2019,44634,"Spotswood Primary School, Spotswood, VIC",
Income allocated to current capital projects,0,0,2019,44634,"Spotswood Primary School, Spotswood, VIC",
Other,0,18519,2019,44634,"Spotswood Primary School, Spotswood, VIC",
Total capital expenditure,895314,1502667,2019,44634,"Spotswood Primary School, Spotswood, VIC",
Australian government capital expenditure,56081,522271,2022,44664,"Footscray West Primary School, West Footscray, VIC",
State / territory government capital expenditure,215262,2067684,2022,44664,"Footscray West Primary School, West Footscray, VIC",
New school loans,0,0,2022,44664,"Footscray West Primary School, West Footscray, VIC",
Income allocated to current capital projects,0,0,2022,44664,"Footscray West Primary School, West Footscray, VIC",
Other,51071,51071,2022,44664,"Footscray West Primary School, West Footscray, VIC",
Total capital expenditure,322414,2641026,2022,44664,"Footscray West Primary School, West Footscray, VIC",
Australian government capital expenditure,0,0,2022,45797,"St John's School, Footscray, VIC",
State / territory government capital expenditure,25000,25000,2022,45797,"St John's School, Footscray, VIC",
New school loans,0,0,2022,45797,"St John's School, Footscray, VIC",
Income allocated to current capital projects,38293,449823,2022,45797,"St John's School, Footscray, VIC",
Other,0,357222,2022,45797,"St John's School, Footscray, VIC",
Total capital expenditure,63293,832045,2022,45797,"St John's School, Footscray, VIC",
Australian government capital expenditure,31962,0,2020,52698,"Prahran High School, Windsor, VIC",
State / territory government capital expenditure,130544,0,2020,52698,"Prahran High School, Windsor, VIC",
New school loans,0,0,2020,52698,"Prahran High School, Windsor, VIC",
Income allocated to current capital projects,0,0,2020,52698,"Prahran High School, Windsor, VIC",
Other,0,0,2020,52698,"Prahran High School, Windsor, VIC",
Total capital expenditure,162506,0,2020,52698,"Prahran High School, Windsor, VIC",
Australian government capital expenditure,0,960067,2019,45538,"Bayside P-12 College, Williamstown, VIC",
State / territory government capital expenditure,0,2845932,2019,45538,"Bayside P-12 College, Williamstown, VIC",
New school loans,0,0,2019,45538,"Bayside P-12 College, Williamstown, VIC",
Income allocated to current capital projects,0,0,2019,45538,"Bayside P-12 College, Williamstown, VIC",
Other,71361,97519,2019,45538,"Bayside P-12 College, Williamstown, VIC",
Total capital expenditure,71361,3903518,2019,45538,"Bayside P-12 College, Williamstown, VIC",
Australian government capital expenditure,49615,103767,2022,44044,"Newport Lakes Primary School, Newport, VIC",
State / territory government capital expenditure,190443,405890,2022,44044,"Newport Lakes Primary School, Newport, VIC",
New school loans,0,0,2022,44044,"Newport Lakes Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2022,44044,"Newport Lakes Primary School, Newport, VIC",
Other,0,0,2022,44044,"Newport Lakes Primary School, Newport, VIC",
Total capital expenditure,240058,509657,2022,44044,"Newport Lakes Primary School, Newport, VIC",
Australian government capital expenditure,0,0,2023,45797,"St John's School, Footscray, VIC",0
State / territory government capital expenditure,0,0,2023,45797,"St John's School, Footscray, VIC","25,000"
New school loans,0,0,2023,45797,"St John's School, Footscray, VIC",0
Income allocated to current capital projects,19508,0,2023,45797,"St John's School, Footscray, VIC","267,549"
Other,4044,0,2023,45797,"St John's School, Footscray, VIC","46,126"
Total capital expenditure,23552,0,2023,45797,"St John's School, Footscray, VIC","338,675"
Australian government capital expenditure,216791,596269,2021,52698,"Prahran High School, Windsor, VIC",
State / territory government capital expenditure,855854,2073355,2021,52698,"Prahran High School, Windsor, VIC",
New school loans,0,0,2021,52698,"Prahran High School, Windsor, VIC",
Income allocated to current capital projects,0,0,2021,52698,"Prahran High School, Windsor, VIC",
Other,0,0,2021,52698,"Prahran High School, Windsor, VIC",
Total capital expenditure,1072645,2669624,2021,52698,"Prahran High School, Windsor, VIC",
Australian government capital expenditure,817985,1128406,2018,45538,"Bayside P-12 College, Williamstown, VIC",
State / territory government capital expenditure,2358442,3136375,2018,45538,"Bayside P-12 College, Williamstown, VIC",
New school loans,0,0,2018,45538,"Bayside P-12 College, Williamstown, VIC",
Income allocated to current capital projects,0,0,2018,45538,"Bayside P-12 College, Williamstown, VIC",
Other,5350,26158,2018,45538,"Bayside P-12 College, Williamstown, VIC",
Total capital expenditure,3181777,4290939,2018,45538,"Bayside P-12 College, Williamstown, VIC",
Australian government capital expenditure,93426,109817,2018,44919,"Altona North Primary School, Altona North, VIC",
State / territory government capital expenditure,281134,368557,2018,44919,"Altona North Primary School, Altona North, VIC",
New school loans,0,0,2018,44919,"Altona North Primary School, Altona North, VIC",
Income allocated to current capital projects,0,0,2018,44919,"Altona North Primary School, Altona North, VIC",
Other,0,0,2018,44919,"Altona North Primary School, Altona North, VIC",
Total capital expenditure,374560,478374,2018,44919,"Altona North Primary School, Altona North, VIC",
Australian government capital expenditure,135253,142458,2018,44634,"Spotswood Primary School, Spotswood, VIC",
State / territory government capital expenditure,406996,448970,2018,44634,"Spotswood Primary School, Spotswood, VIC",
New school loans,0,0,2018,44634,"Spotswood Primary School, Spotswood, VIC",
Income allocated to current capital projects,0,0,2018,44634,"Spotswood Primary School, Spotswood, VIC",
Other,0,18519,2018,44634,"Spotswood Primary School, Spotswood, VIC",
Total capital expenditure,542249,609947,2018,44634,"Spotswood Primary School, Spotswood, VIC",
